ID,F115,F321,F527,F531,F670,F1692,F2082,F2122,F2582,F2678,F2737,F2956,F3043,F3836,F3887,F3889,F3891,F3894,F3924
1243,0.65,1.02,0.89,0.98,0.0,0.0,0.0,0.0,0.07,,-0.16,38.0,50.0,55189844.02,125,G365D,student,26.0,0
1244,0.54,0.97,1.01,0.92,0.0,0.0,0.0,0.0,-0.06,-0.53,0.02,114.0,,390423.38,125,G365D,student,25.0,0
1245,0.66,1.0,0.9,1.06,0.0,4.0,0.0,0.049382716,0.13,-0.35,-0.41,31.0,,879321.82,125,G365D,agriculture,39.0,0
1246,0.62,0.97,0.46,1.05,0.0,0.0,0.0,0.230769231,0.13,0.72,-0.48,13.0,,291158.72,124,G365D,agriculture,39.0,0
1247,0.57,0.93,0.63,1.1,0.0,0.0,0.0,0.0,-0.44,-0.07,-0.5,140.0,,717386.35,126,G365D,selfemployed,36.0,0
1248,1.0,1.03,0.86,1.13,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,,242321.74,125,G365D,selfemployed,53.0,0
1249,0.56,0.93,0.99,0.83,0.0,0.0,0.0,0.0,,-0.27,-0.3,13.0,,297404.96,123,G365D,housewife,37.0,0
1250,0.7,1.42,1.08,1.92,0.0,0.0,0.0,0.0,-0.2,-0.05,-0.14,219.0,,58843.33,124,G365D,student,28.0,0
1251,0.43,1.71,0.77,2.97,0.0,0.0,0.0,0.0,-0.06,-0.14,-0.2,232.0,,124810.56,125,G365D,agriculture,54.0,0
1252,0.56,1.46,0.2,2.53,0.0,0.0,0.0,0.0,0.02,-0.42,0.23,136.0,,1197826.28,124,G365D,selfemployed,43.0,0
1253,1.0,1.67,1.56,1.22,0.0,0.0,0.0,0.0,0.12,,-0.64,69.0,,75878.0,125,G365D,salaried,36.0,0
1254,0.31,1.37,0.38,1.96,0.0,0.0,0.0,0.0,,,,,1.0,643755.98,124,G365D,agriculture,30.0,0
1255,0.54,1.0,0.84,1.04,0.0,0.0,0.0,0.0,-0.09,,0.11,38.0,,1148117.54,125,G365D,agriculture,35.0,0
1256,0.47,1.2,0.68,1.19,0.0,2.0,0.0,0.133333333,-0.29,-0.23,0.26,93.0,123.0,86472.4,122,G365D,agriculture,25.0,0
1257,0.51,1.63,0.8,2.46,0.0,0.0,0.0,0.01910828,0.0,,0.17,8.0,9.0,818404.87,123,G365D,salaried,39.0,0
1258,0.51,1.88,0.9,2.8,0.0,0.0,0.0,0.0,-0.07,-0.13,0.64,55.0,63.0,356112.05,122,G365D,student,30.0,0
1259,0.0,,0.0,,0.0,1.0,0.027777778,0.013513514,0.0,,-0.45,32.0,,445775.26,124,G365D,salaried,41.0,0
1260,0.45,1.18,0.99,1.43,0.0,0.0,0.0,0.024096386,-0.21,0.05,1.26,73.0,,1901671.71,124,G365D,student,25.0,0
1261,0.4,0.97,1.05,0.78,0.0,3.0,0.0,0.081300813,-0.13,-0.58,-0.44,15.0,,72574.86,123,G365D,student,23.0,0
1262,0.48,0.92,1.0,1.02,0.0,3.0,0.0,0.4,0.03,-0.27,-0.33,144.0,,775.02,124,G365D,student,26.0,0
1263,0.51,0.96,0.99,1.1,1.0,0.0,0.0,0.0,-0.15,-0.24,0.15,163.0,,51879.38,123,G365D,salaried,59.0,0
1264,0.53,1.15,0.92,1.24,0.0,0.0,0.0,0.0,0.2,0.06,-0.06,216.0,491.0,133072.05,122,G365D,selfemployed,36.0,0
1265,1.0,0.98,1.0,0.94,0.0,0.0,0.0,0.0,,-0.63,-0.69,29.0,80.0,515158.52,123,G365D,salaried,36.0,0
1266,0.56,1.39,1.86,2.07,0.0,0.0,0.0,0.0,0.13,-0.28,-0.25,20.0,,52028.8,124,G365D,salaried,36.0,0
1267,0.68,1.21,0.98,1.34,0.0,0.0,0.0,0.0,0.31,0.13,-0.16,51.0,,3676589.85,124,G365D,salaried,36.0,0
1268,0.69,1.21,0.99,1.19,0.0,2.0,0.0,0.117647059,-0.17,-0.23,0.1,48.0,,2292974.45,122,G365D,salaried,37.0,0
1269,0.56,0.99,0.96,0.79,0.0,1.0,0.0,0.2,-0.36,,-0.19,74.0,136.0,942722.47,124,G365D,student,29.0,0
1270,0.3,0.88,0.0,2.04,0.0,0.0,0.0,0.0,-0.19,-0.34,-0.08,96.0,146.0,589785.36,122,G365D,salaried,49.0,0
1271,0.62,1.66,0.83,2.61,0.0,0.0,0.0,0.0,0.04,,0.06,192.0,375.0,214188202.7,123,G365D,student,24.0,0
1272,1.0,1.75,0.44,,0.0,0.0,0.010526316,0.018691589,,-0.33,2.37,9.0,14.0,604476.0,124,G365D,student,29.0,0
1273,0.47,1.09,1.17,0.82,0.0,0.0,0.0,0.0,1.78,-0.38,-0.56,91.0,,32186.08,124,G365D,student,23.0,0
1274,0.58,1.08,0.7,1.26,0.0,1.0,0.0,0.009009009,-0.38,,1.09,41.0,82.0,1308945.29,122,G365D,selfemployed,33.0,0
1275,0.78,1.35,0.82,1.17,0.0,0.0,0.0,0.0,,,-0.67,10.0,23.0,279140.41,124,G365D,salaried,33.0,0
1276,0.47,1.22,1.17,1.26,0.0,0.0,0.0,0.003731343,-0.01,-0.27,-0.38,131.0,,2554225.99,123,G365D,salaried,30.0,0
1277,0.46,1.05,1.06,1.2,0.0,0.0,0.0,0.0,0.24,-0.47,-0.22,96.0,,434279.96,123,G365D,salaried,50.0,0
1278,0.45,1.8,1.06,1.33,1.0,0.0,0.0,0.0,,,-0.81,,5.0,1862488.72,123,G365D,salaried,50.0,0
1279,0.46,1.08,0.58,1.39,0.0,0.0,0.0,0.0,-0.21,0.06,0.1,89.0,,2210067.89,121,G365D,salaried,30.0,0
1280,0.4,1.18,0.8,2.26,1.0,0.0,0.0,0.0,,0.0,0.0,4.0,4.0,68220.56,123,G365D,housewife,36.0,0
1281,0.48,1.16,1.08,1.1,0.0,0.0,0.0,0.0,,,-0.22,3.0,,14837.58,122,G365D,agriculture,24.0,0
1282,0.54,1.26,1.13,1.25,0.0,0.0,0.0,0.002392344,0.16,-0.55,-0.49,94.0,213.0,167736.31,123,G365D,student,27.0,0
1283,0.45,1.01,0.92,1.13,1.0,0.0,0.0,0.0,-0.44,,-0.11,54.0,,155324.81,122,G365D,selfemployed,46.0,0
1284,0.67,1.1,1.14,1.02,0.0,0.0,0.0,0.333333333,-0.06,-0.46,-0.16,136.0,,2045531.23,123,G365D,student,24.0,0
1285,0.63,1.1,0.73,1.57,0.0,0.0,0.0,0.0,0.02,-0.34,-0.19,35.0,,977180.63,121,G365D,agriculture,29.0,0
1286,1.0,1.0,,1.0,0.0,0.0,0.0,0.0,-0.3,-0.21,-0.2,26.0,,757906.69,124,G365D,agriculture,33.0,0
1287,0.59,1.35,0.87,1.84,0.0,1.0,0.0,0.2,-0.16,0.16,-0.03,77.0,,194433.91,122,G365D,student,20.0,0
1288,0.49,0.85,0.9,0.76,0.0,0.0,0.0,0.0,0.08,2.14,-0.3,136.0,,340665.98,123,G365D,student,24.0,0
1289,0.82,0.67,0.72,0.86,0.0,0.0,0.0,0.0,0.06,0.11,-0.18,87.0,,1780642.64,123,G365D,student,29.0,0
1290,0.48,1.68,1.34,0.92,0.0,0.0,0.0,0.0,,,0.0,,,884384.52,121,G365D,salaried,,0
1291,0.76,0.61,1.3,0.85,0.0,0.0,0.0,0.0,,,0.0,,,25801.82,122,G365D,student,21.0,0
1292,0.73,0.96,1.17,0.82,0.0,0.0,0.0,0.0,0.0,,-0.3,49.0,,81166.07,122,G365D,student,28.0,0
1293,0.35,0.99,0.79,0.04,0.0,0.0,0.0,0.0,-0.28,-0.31,-0.43,83.0,,232590.96,122,G365D,student,23.0,0
1294,0.4,1.4,1.84,1.23,0.0,0.0,0.0,0.0,0.92,0.0,-0.03,35.0,35.0,1373048.25,123,G365D,selfemployed,28.0,0
1295,0.31,1.31,0.95,1.72,1.0,0.0,0.0,0.0,-0.06,0.05,-0.48,26.0,47.0,53287.4,121,G365D,student,27.0,0
1296,,1.0,,,0.0,1.0,0.0,0.004444444,-0.02,,-0.14,52.0,,2665354.72,121,G365D,student,23.0,0
1297,0.41,1.54,1.3,2.46,1.0,0.0,0.0,0.0,-0.41,,-0.51,16.0,,55730.73,122,G365D,student,23.0,0
1298,0.64,1.13,0.84,1.12,0.0,0.0,0.0,0.0,0.71,-0.24,-0.46,88.0,,809037.94,122,G365D,student,23.0,0
1299,0.52,0.93,1.12,0.71,0.0,0.0,0.0,0.0,0.12,-0.38,-0.56,69.0,,46900.12,122,G365D,selfemployed,46.0,0
1300,0.48,0.15,0.0,0.88,1.0,0.0,0.011627907,0.0,,,-0.67,,14.0,454324.99,124,G365D,agriculture,23.0,0
1301,0.44,1.73,0.0,2.53,0.0,0.0,0.0,0.0,0.19,-0.35,0.05,216.0,366.0,224621.48,122,G365D,student,27.0,0
1302,0.55,1.06,1.03,1.18,0.0,0.0,0.0,0.0,-0.21,-0.1,-0.06,228.0,445.0,1247215.38,121,G365D,student,23.0,0
1303,0.53,1.61,0.83,1.08,0.0,2.0,0.03125,0.070422535,0.0,-0.03,-0.03,70.0,,9889.88,123,G365D,housewife,36.0,0
1304,0.59,1.33,0.79,1.15,0.0,0.0,0.0,0.0,-0.32,-0.66,-0.86,40.0,120.0,10380.83,121,G365D,student,24.0,0
1305,0.49,1.0,0.96,1.02,0.0,0.0,0.0,0.0,0.29,-0.55,-0.47,37.0,,138236.99,121,G365D,agriculture,52.0,0
1306,0.54,1.17,1.15,1.21,0.0,0.0,0.0,0.0,-0.24,,-0.58,27.0,,300440.94,122,G365D,selfemployed,44.0,0
1307,0.68,1.17,0.99,1.53,0.0,0.0,0.0,0.0,-0.02,-0.08,0.08,264.0,,469704.78,124,G365D,student,23.0,0
1308,0.46,1.59,0.72,2.61,0.0,0.0,0.0,0.0,-0.05,-0.1,0.03,218.0,,209991.08,121,G365D,agriculture,48.0,0
1309,0.51,1.96,1.0,3.53,0.0,0.0,0.0,0.0,-0.08,0.1,0.37,236.0,,911570.15,123,G365D,student,25.0,0
1310,0.55,1.11,1.09,0.63,0.0,0.0,0.0,0.0,,-0.64,-0.5,12.0,,35215.37,124,G365D,student,21.0,0
1311,0.59,1.26,0.81,2.18,1.0,1.0,0.0,0.016949153,-0.17,0.39,0.63,163.0,,108583.21,122,G365D,student,34.0,0
1312,0.58,0.32,0.75,0.5,0.0,0.0,0.0,0.019047619,0.25,-0.15,-0.2,110.0,224.0,3931588.5,122,G365D,salaried,39.0,0
1313,0.44,0.85,0.98,1.04,1.0,0.0,0.0,0.0,0.14,1.28,-0.41,83.0,,6878578.69,124,G365D,student,25.0,0
1314,0.4,2.03,0.0,0.59,0.0,0.0,0.0,0.0,-0.04,0.72,-0.36,53.0,,10522494.19,122,G365D,salaried,34.0,0
1315,0.42,1.36,1.08,0.62,0.0,0.0,0.0,0.0,-0.13,-0.34,-0.64,48.0,,2433176.2,121,G365D,student,27.0,0
1316,0.63,1.36,0.97,1.77,0.0,0.0,0.0,0.0,,,-0.88,,,34995.92,121,G365D,salaried,27.0,0
1317,0.54,0.68,0.71,0.7,0.0,0.0,0.0,0.0,-0.25,,-0.13,7.0,,446772.78,123,G365D,housewife,35.0,0
1318,1.0,0.82,1.4,0.0,0.0,0.0,0.0,0.0,0.11,,-0.16,131.0,,3047103.05,123,G365D,student,37.0,0
1319,0.64,1.18,1.23,1.66,1.0,0.0,0.0,0.0,,0.0,,2.0,2.0,64848.61,121,G365D,student,36.0,0
1320,0.38,0.98,1.81,1.5,0.0,0.0,0.0,0.0,,-0.42,-0.67,31.0,70.0,13182.03,123,G365D,student,28.0,0
1321,0.56,1.38,1.36,1.47,0.0,0.0,0.0,0.0,-0.02,,-0.39,18.0,,1264350.98,123,G365D,selfemployed,32.0,0
1322,0.42,1.08,1.09,1.55,0.0,0.0,0.0,0.0,-0.2,,-0.53,48.0,,42229.67,122,G365D,student,28.0,0
1323,0.55,1.17,1.0,2.0,0.0,0.0,0.0,0.25,2.25,-0.42,-0.52,76.0,,542472.98,120,G365D,agriculture,41.0,0
1324,0.9,1.19,1.7,1.33,0.0,0.0,0.0,0.002188184,,,-0.76,,20.0,17620214.66,123,G365D,selfemployed,30.0,0
1325,0.49,1.04,1.08,1.03,0.0,0.0,0.0,0.0,0.71,-0.44,-0.45,27.0,,486878.74,120,G365D,student,29.0,0
1326,0.53,0.96,0.25,0.76,0.0,0.0,0.0,0.0,,-0.25,-0.11,20.0,,528335.68,120,G365D,selfemployed,56.0,0
1327,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,,-0.68,-0.74,11.0,37.0,2506177.28,120,G365D,student,22.0,0
1328,0.58,1.0,1.67,1.27,0.0,0.0,0.0,0.0,0.31,,-0.08,79.0,,21269.46,123,G365D,housewife,33.0,0
1329,0.44,1.49,0.85,2.01,0.0,0.0,0.0,0.0,-0.05,,-0.12,64.0,,46177.1,120,G365D,student,28.0,0
1330,0.48,0.87,1.08,0.85,0.0,0.0,0.0,0.333333333,,,-0.5,1.0,,-43146976.54,120,G365D,agriculture,61.0,0
1331,0.34,1.43,1.14,1.06,0.0,4.0,0.0,1.0,0.23,-0.38,-0.42,80.0,,1098598.83,121,G365D,housewife,10.0,0
1332,0.79,1.38,1.12,1.16,0.0,0.0,0.0,0.0,-0.16,,0.72,129.0,,805489.54,120,G365D,salaried,29.0,0
1333,0.41,0.98,0.31,1.15,0.0,0.0,0.0,0.0,-0.33,-0.12,-0.04,121.0,,-12997791.99,121,G365D,selfemployed,50.0,0
1334,0.47,1.04,0.62,1.02,0.0,0.0,0.0,0.0,0.53,-0.14,-0.3,103.0,,738446.64,121,G365D,selfemployed,47.0,0
1335,0.58,1.31,1.29,1.42,0.0,1.0,0.0,0.222222222,,0.88,-0.47,15.0,,8165.23,120,G365D,salaried,36.0,0
1336,0.61,1.27,1.09,1.47,1.0,0.0,0.0,0.333333333,0.02,-0.21,-0.23,92.0,,-372665807.5,121,G365D,salaried,34.0,0
1337,0.49,1.11,0.99,1.06,0.0,0.0,0.0,0.0,,0.0,-0.01,11.0,22.0,17788147.21,120,G365D,salaried,42.0,0
1338,0.59,1.0,,1.0,0.0,1.0,0.0,1.0,-0.39,2.9,1.87,29.0,,-14507913.34,121,G365D,agriculture,26.0,0
1339,0.46,1.1,0.8,1.86,0.0,1.0,0.0,0.333333333,-0.02,4.13,0.35,198.0,456.0,1952711.46,120,G365D,agriculture,34.0,0
1340,0.28,0.99,1.55,1.68,0.0,2.0,0.0,0.027027027,0.11,-0.51,-0.64,46.0,,288256.86,120,G365D,selfemployed,31.0,0
1341,0.67,1.0,0.5,1.5,0.0,0.0,0.0,0.0,-0.23,0.05,0.47,40.0,,305069.05,120,G365D,housewife,30.0,0
1342,0.63,0.89,1.03,1.03,0.0,0.0,0.0,0.0,0.08,0.86,0.06,113.0,,1527806.0,122,G365D,student,25.0,0
1343,1.0,1.82,0.0,3.0,0.0,0.0,0.25,0.25,-0.08,-0.53,-0.1,63.0,,907540.12,121,G365D,selfemployed,37.0,0
1344,0.77,1.54,1.15,2.09,1.0,0.0,0.0,0.0,0.04,-0.4,0.19,94.0,,2426904.36,122,G365D,student,23.0,0
1345,0.74,1.39,0.53,1.84,0.0,0.0,0.25,0.0,,,,,1.0,1206.68,123,G365D,agriculture,31.0,0
1346,0.6,1.42,0.62,2.27,0.0,1.0,0.0,0.019354839,,,,,4.0,55784.0,122,G365D,salaried,35.0,0
1347,0.42,1.2,0.0,2.99,0.0,0.0,0.0,0.008,-0.25,-0.5,0.75,15.0,,2628779.03,120,G365D,student,30.0,0
1348,,1.0,,,0.0,0.0,0.0,0.01369863,,,-0.39,,16.0,879250.31,121,G365D,selfemployed,50.0,0
1349,0.42,1.68,1.4,1.59,0.0,0.0,0.0,0.0,,,-0.43,7.0,,637383.95,121,G365D,student,28.0,0
1350,0.45,1.45,0.62,1.89,1.0,0.0,0.0,0.024390244,,,-0.57,30.0,,235779.07,121,G365D,salaried,32.0,0
1351,0.46,1.34,1.0,1.9,0.0,0.0,0.0,0.0,,,-0.3,3.0,5.0,2420686.96,120,G365D,others,32.0,0
1352,0.68,1.03,1.04,1.02,0.0,0.0,0.0,0.5,0.88,-0.06,-0.23,43.0,,900306.16,121,G365D,student,27.0,0
1353,0.49,1.03,1.0,0.89,0.0,0.0,0.0,0.0,0.03,-0.53,-0.39,63.0,,397905.87,65,G365D,student,28.0,0
1354,0.5,1.04,1.1,0.92,0.0,0.0,0.0,0.0,0.02,,-0.36,171.0,,240435.76,119,G365D,student,30.0,0
1355,0.58,0.96,1.01,0.95,0.0,0.0,0.0,0.00952381,0.13,16.4,0.11,119.0,273.0,-114906995.5,121,G365D,student,24.0,0
1356,0.55,1.09,1.32,0.78,0.0,2.0,0.0,0.015267176,,,0.0,,5.0,-114862233.3,121,G365D,student,25.0,0
1357,1.0,1.0,,1.0,0.0,0.0,0.333333333,0.25,,,-0.52,,36.0,252053.94,120,G365D,selfemployed,48.0,0
1358,0.34,1.37,2.0,1.35,0.0,2.0,0.0,0.75,,,11.85,,73.0,-137298430.7,122,G365D,agriculture,12.0,0
1359,0.37,1.25,0.99,1.97,0.0,0.0,0.0,0.076923077,0.12,0.04,-0.27,81.0,,662314.09,119,G365D,selfemployed,11.0,0
1360,0.63,1.08,1.14,1.15,0.0,0.0,0.0,0.0,0.12,-0.27,-0.42,15.0,,416601.28,120,G365D,student,30.0,0
1361,0.34,1.09,1.13,1.01,0.0,0.0,0.0,0.0,0.09,-0.1,0.23,74.0,,133655.04,120,G365D,student,28.0,0
1362,0.57,0.98,1.04,1.36,0.0,0.0,0.0,0.0,-0.06,,-0.06,15.0,15.0,8961148.8,121,G365D,student,30.0,0
1363,0.58,0.57,0.0,0.49,0.0,0.0,0.0,0.0,1.71,-0.42,-0.66,72.0,,27157.25,120,G365D,housewife,55.0,0
1364,0.53,1.18,1.27,1.2,1.0,0.0,0.058823529,0.0,0.05,,-0.21,87.0,,484219.67,119,G365D,selfemployed,28.0,0
1365,0.8,1.04,0.33,1.67,0.0,0.0,0.0,0.0,,0.0,0.0,3.0,,926224.93,119,G365D,agriculture,57.0,0
1366,0.51,0.91,1.01,1.04,0.0,0.0,0.0,0.0,0.21,,-0.52,106.0,,23552.41,120,G365D,salaried,44.0,0
1367,0.58,1.04,1.18,1.66,0.0,0.0,0.0,0.011235955,-0.05,-0.05,0.25,165.0,309.0,17518.69,122,G365D,selfemployed,10.0,0
1368,0.66,1.48,0.96,1.59,0.0,0.0,0.0,0.0,,,-0.45,,,41055.6,121,G365D,others,39.0,0
1369,0.4,1.71,1.1,3.88,0.0,0.0,0.0,0.0,1.25,-0.17,-0.12,23.0,,65769.5,120,G365D,selfemployed,40.0,0
1370,0.5,1.36,0.94,1.44,0.0,0.0,0.0,0.0,-0.09,0.16,-0.18,10.0,81.0,199650.98,119,G365D,agriculture,45.0,0
1371,0.49,1.1,0.6,2.09,0.0,0.0,0.0,0.021052632,-0.5,-0.48,-0.05,31.0,,888657.1,121,G365D,student,23.0,0
1372,0.55,1.51,0.99,1.39,0.0,0.0,0.0,0.0,,-0.51,-0.3,30.0,,1907971.45,119,G365D,student,31.0,0
1373,0.48,1.17,0.85,2.29,0.0,0.0,0.0,0.0,-0.13,,-0.3,178.0,,4786143.6,122,G365D,housewife,40.0,0
1374,0.65,0.77,1.04,0.7,0.0,4.0,0.0,0.006525285,-0.34,-0.31,-0.45,25.0,37.0,1631902.55,120,G365D,salaried,37.0,0
1375,0.67,1.0,1.5,1.3,1.0,0.0,0.0,0.0,,,0.0,1.0,1.0,627044.11,119,G365D,selfemployed,38.0,0
1376,0.56,1.15,0.87,1.73,1.0,0.0,0.0,0.0,,,0.0,5.0,5.0,3730484.25,121,G365D,selfemployed,76.0,0
1377,0.25,1.33,0.53,3.78,0.0,0.0,0.0,0.0,,0.0,0.0,4.0,4.0,198836.28,119,G365D,agriculture,33.0,0
1378,0.53,1.57,1.29,2.2,1.0,0.0,0.0,0.00990099,-0.02,-0.53,-0.76,44.0,,70013416.23,120,G365D,student,27.0,0
1379,0.45,1.32,1.08,2.34,0.0,0.0,0.0,0.016666667,,0.0,,3.0,3.0,1537930.24,120,G365D,student,18.0,0
1380,0.8,1.03,0.17,1.32,0.0,0.0,0.0,0.0,2.07,-0.26,-0.38,81.0,,14161.51,119,G365D,student,31.0,0
1381,0.47,1.32,0.9,0.94,0.0,0.0,0.0,0.019607843,0.15,-0.1,-0.3,25.0,,238868.0,120,G365D,student,24.0,0
1382,0.42,1.26,0.95,1.44,0.0,2.0,0.0,0.021621622,0.1,-0.17,-0.3,67.0,128.0,13246.82,120,G365D,agriculture,34.0,0
1383,0.73,1.57,0.5,0.7,1.0,0.0,0.0,0.0,-0.11,,-0.64,27.0,,673980750.3,121,G365D,student,29.0,0
1384,0.73,2.03,0.67,1.94,0.0,0.0,0.0,0.0,,-0.41,-0.4,10.0,,461203.63,121,G365D,selfemployed,50.0,0
1385,0.42,0.65,0.95,2.78,0.0,1.0,0.0,0.5,0.22,,0.06,26.0,88.0,835137.7,120,G365D,selfemployed,11.0,0
1386,0.47,1.09,0.95,0.28,0.0,0.0,0.0,0.0,-0.15,-0.36,-0.26,170.0,,-25435043.0,119,G365D,student,30.0,0
1387,0.28,1.94,0.92,1.63,1.0,0.0,0.1,0.133333333,-0.24,0.4,-0.13,59.0,114.0,2925760.73,120,G365D,student,27.0,0
1388,0.69,2.03,0.7,1.99,0.0,0.0,0.0,0.0,0.02,0.2,0.03,90.0,,3608781.76,120,G365D,selfemployed,15.0,0
1389,0.0,1.49,0.0,0.0,0.0,1.0,0.0,0.25,,1.75,-0.3,74.0,,36149.26,118,G365D,salaried,36.0,0
1390,0.49,1.0,0.97,0.92,0.0,0.0,0.035897436,0.02676399,-0.03,,-0.21,137.0,,1180477.5,119,G365D,agriculture,36.0,0
1391,0.56,1.14,0.57,1.69,0.0,0.0,0.0,0.0,0.02,-0.04,-0.33,122.0,,1432963.2,121,G365D,agriculture,27.0,0
1392,0.44,1.26,1.24,1.54,0.0,0.0,0.0,0.0,,0.0,-0.25,18.0,,374304.33,119,G365D,selfemployed,44.0,0
1393,0.47,1.08,1.23,1.16,0.0,0.0,0.0,0.0,0.93,,0.15,58.0,,22359.57,119,G365D,agriculture,53.0,0
1394,0.8,1.27,,0.73,0.0,0.0,0.0,0.002262443,-0.27,-0.43,-0.17,25.0,,58638063.5,120,G365D,agriculture,28.0,0
1395,0.47,0.76,1.19,1.51,1.0,0.0,0.0,0.0,0.36,-0.19,-0.23,200.0,,55574877.79,119,G365D,agriculture,50.0,0
1396,0.5,1.32,1.33,1.45,0.0,0.0,0.0,0.0,0.81,-0.11,-0.12,345.0,612.0,539547.57,120,G365D,agriculture,47.0,0
1397,0.54,1.57,0.59,2.2,0.0,0.0,0.0,0.034482759,-0.11,,-0.33,8.0,,5546.57,120,G365D,selfemployed,64.0,0
1398,0.47,2.22,1.63,3.66,0.0,0.0,0.0,0.0,-0.37,-0.27,-0.07,26.0,,28674864.21,120,G365D,selfemployed,46.0,0
1399,0.6,0.36,0.0,2.25,0.0,2.0,0.0,1.0,-0.07,,0.04,97.0,100.0,29174836.93,118,G365D,student,29.0,0
1400,0.55,1.4,0.93,1.57,1.0,0.0,0.0,0.006355932,-0.01,-0.25,-0.36,95.0,,589923.53,118,G365D,housewife,36.0,0
1401,0.43,1.03,0.85,1.07,0.0,0.0,0.0,0.0,,1.14,-0.34,15.0,,100798.49,120,G365D,agriculture,34.0,0
1402,0.65,1.36,0.46,1.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,112.0,3857792.63,120,G365D,agriculture,34.0,0
1403,,1.0,,,1.0,0.0,0.0,0.0,0.7,-0.4,-0.62,61.0,,645084.81,120,G365D,selfemployed,35.0,0
1404,0.62,1.25,1.25,1.48,1.0,0.0,0.0,0.0,-0.11,-0.81,1.95,13.0,71.0,3651899.78,118,G365D,salaried,41.0,0
1405,0.52,0.64,0.94,1.42,0.0,0.0,0.0,0.0,0.01,,-0.32,34.0,,6338629.38,117,G365D,student,29.0,0
1406,1.0,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,,0.21,80.0,,17736.98,118,G365D,agriculture,68.0,0
1407,0.38,1.12,1.1,1.24,1.0,0.0,0.0,0.004662005,0.69,-0.15,1.25,101.0,,1743648.2,117,G365D,agriculture,26.0,0
1408,0.45,0.96,0.62,1.34,0.0,0.0,0.0,0.0,-0.08,-0.44,-0.56,132.0,,4749387.02,118,G365D,selfemployed,31.0,0
1409,0.44,1.02,0.8,0.87,1.0,0.0,0.0,0.05,,,-0.23,,3.0,62761.13,119,G365D,selfemployed,31.0,0
1410,1.0,1.28,1.29,1.28,0.0,0.0,0.0,0.0,,-0.04,-0.11,159.0,236.0,1748211.57,119,G365D,agriculture,47.0,0
1411,0.71,0.89,0.85,1.11,0.0,1.0,0.4,0.2,0.64,-0.49,-0.54,64.0,,2698615.85,118,G365D,agriculture,53.0,0
1412,0.5,0.7,0.58,4.39,0.0,0.0,0.0,0.0,0.02,0.03,-0.26,77.0,,570170.14,117,G365D,salaried,38.0,0
1413,0.46,1.49,0.58,3.31,1.0,0.0,0.0,0.004366812,-0.22,-0.45,-0.51,61.0,,195383.12,118,G365D,salaried,30.0,0
1414,1.0,1.0,,1.0,0.0,0.0,0.0,0.0,0.12,0.19,0.15,179.0,,740744.78,118,G365D,agriculture,38.0,0
1415,0.21,1.81,0.69,1.91,0.0,0.0,0.0,0.0,-0.11,-0.06,-0.12,91.0,,53728.86,119,G365D,salaried,42.0,0
1416,0.42,1.11,0.99,1.23,0.0,0.0,0.0,0.0,-0.11,0.97,-0.41,99.0,,350667.18,118,G365D,student,27.0,0
1417,0.54,0.6,1.05,0.85,0.0,0.0,0.0,0.01010101,-0.06,-0.49,-0.23,26.0,,1989720.88,119,G365D,agriculture,36.0,0
1418,0.69,1.61,1.13,1.81,1.0,0.0,0.0,0.0,,,-0.5,5.0,5.0,-15736720.65,118,G365D,student,20.0,0
1419,0.42,1.45,1.0,1.9,0.0,0.0,0.0,0.0,-0.09,,0.12,125.0,,1233109.66,117,G365D,salaried,27.0,0
1420,1.0,1.0,,1.33,0.0,0.0,0.0,0.013157895,-0.47,-0.56,-0.01,31.0,72.0,14976.32,120,G365D,selfemployed,28.0,0
1421,0.58,1.74,1.18,2.1,0.0,1.0,0.011904762,0.016129032,,-0.5,0.35,1.0,,66085.64,118,G365D,selfemployed,51.0,0
1422,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.31,-0.4,-0.28,70.0,,44122096.68,118,G365D,student,21.0,0
1423,0.28,1.1,1.44,1.0,0.0,0.0,0.0,0.008421053,0.45,-0.52,0.65,61.0,,14252238.51,120,G365D,selfemployed,48.0,0
1424,0.51,1.61,1.89,1.4,0.0,0.0,0.0,0.0,-0.09,,0.17,94.0,,323527.07,118,G365D,agriculture,42.0,0
1425,0.89,0.76,0.86,0.93,0.0,0.0,0.0,0.0,-0.07,0.03,0.14,106.0,296.0,31643.25,119,G365D,student,24.0,0
1426,0.36,1.4,0.89,2.78,0.0,0.0,0.0,0.0,-0.08,-0.43,-0.16,51.0,,144338.37,117,G365D,student,28.0,0
1427,0.94,1.0,0.85,1.06,1.0,0.0,0.0,0.0,0.39,0.63,0.34,226.0,428.0,258591.79,119,G365D,salaried,50.0,0
1428,0.53,1.0,0.86,1.63,0.0,0.0,0.0,0.07079646,,,0.0,,1.0,10861896.6,118,G365D,agriculture,39.0,0
1429,0.3,1.05,1.35,1.03,0.0,0.0,0.0,0.005167959,,0.0,,1.0,1.0,98298.72,117,G365D,agriculture,60.0,0
1430,0.56,0.79,1.33,0.85,0.0,3.0,0.0,1.0,-0.17,,-0.48,45.0,,912067.03,117,G365D,salaried,37.0,0
